"","id","sp","rep","site","ind","treatcode","warm","photo","chill","gen","lday","bday","ht","DBH","stom_d","sla","wood_den","cn"
"31","ACEPEN03_HF_10","ACEPEN","3","HF","ACEPEN03_HF","WS0","20","08","chill0","ACE",40,18,0.96,2.3,166.9704259,52.5652941176471,1.8989898989899,17.3985392383174
"32","ACEPEN03_HF_11","ACEPEN","3","HF","ACEPEN03_HF","CL2","15","12","chill2","ACE",50,13,0.96,2.3,166.9704259,52.5652941176471,1.8989898989899,17.3985392383174
"33","ACEPEN03_HF_12","ACEPEN","3","HF","ACEPEN03_HF","CS1","15","08","chill1","ACE",NA,3,0.96,2.3,166.9704259,52.5652941176471,1.8989898989899,17.3985392383174
"34","ACEPEN04_HF_01","ACEPEN","4","HF","ACEPEN04_HF","WL2","20","12","chill2","ACE",27,14,0.75,2.1,561.0206312,37.3213636363636,2.2,18.0277744437103
"35","ACEPEN04_HF_02","ACEPEN","4","HF","ACEPEN04_HF","CL0","15","12","chill0","ACE",48,20,0.75,2.1,561.0206312,37.3213636363636,2.2,18.0277744437103
"36","ACEPEN04_HF_03","ACEPEN","4","HF","ACEPEN04_HF","WS0","20","08","chill0","ACE",68,18,0.75,2.1,561.0206312,37.3213636363636,2.2,18.0277744437103
"37","ACEPEN04_HF_05","ACEPEN","4","HF","ACEPEN04_HF","CL1","15","12","chill1","ACE",37,3,0.75,2.1,561.0206312,37.3213636363636,2.2,18.0277744437103
"38","ACEPEN04_HF_06","ACEPEN","4","HF","ACEPEN04_HF","CS0","15","08","chill0","ACE",NA,21,0.75,2.1,561.0206312,37.3213636363636,2.2,18.0277744437103
"39","ACEPEN04_HF_07","ACEPEN","4","HF","ACEPEN04_HF","CS2","15","08","chill2","ACE",NA,NA,0.75,2.1,561.0206312,37.3213636363636,2.2,18.0277744437103
"40","ACEPEN04_HF_08","ACEPEN","4","HF","ACEPEN04_HF","CS1","15","08","chill1","ACE",44,9,0.75,2.1,561.0206312,37.3213636363636,2.2,18.0277744437103
"41","ACEPEN04_HF_09","ACEPEN","4","HF","ACEPEN04_HF","WS2","20","08","chill2","ACE",31,13,0.75,2.1,561.0206312,37.3213636363636,2.2,18.0277744437103
"42","ACEPEN04_HF_10","ACEPEN","4","HF","ACEPEN04_HF","WL1","20","12","chill1","ACE",31,8,0.75,2.1,561.0206312,37.3213636363636,2.2,18.0277744437103
"43","ACEPEN04_HF_11","ACEPEN","4","HF","ACEPEN04_HF","WL0","20","12","chill0","ACE",29,13,0.75,2.1,561.0206312,37.3213636363636,2.2,18.0277744437103
"44","ACEPEN04_HF_12","ACEPEN","4","HF","ACEPEN04_HF","CL2","15","12","chill2","ACE",NA,13,0.75,2.1,561.0206312,37.3213636363636,2.2,18.0277744437103
"45","ACEPEN04_SH_01","ACEPEN","4","SH","ACEPEN04_SH","WL2","20","12","chill2","ACE",NA,14,NA,NA,NA,NA,NA,NA
"46","ACEPEN04_SH_02","ACEPEN","4","SH","ACEPEN04_SH","WL0","20","12","chill0","ACE",42,13,NA,NA,NA,NA,NA,NA
"47","ACEPEN04_SH_03","ACEPEN","4","SH","ACEPEN04_SH","CL2","15","12","chill2","ACE",43,13,NA,NA,NA,NA,NA,NA
"48","ACEPEN04_SH_04","ACEPEN","4","SH","ACEPEN04_SH","CS1","15","08","chill1","ACE",NA,15,NA,NA,NA,NA,NA,NA
"49","ACEPEN04_SH_05","ACEPEN","4","SH","ACEPEN04_SH","WS0","20","08","chill0","ACE",40,18,NA,NA,NA,NA,NA,NA
"50","ACEPEN04_SH_06","ACEPEN","4","SH","ACEPEN04_SH","CL1","15","12","chill1","ACE",37,13,NA,NA,NA,NA,NA,NA
"51","ACEPEN04_SH_07","ACEPEN","4","SH","ACEPEN04_SH","CS2","15","08","chill2","ACE",NA,13,NA,NA,NA,NA,NA,NA
"52","ACEPEN04_SH_08","ACEPEN","4","SH","ACEPEN04_SH","WL1","20","12","chill1","ACE",31,13,NA,NA,NA,NA,NA,NA
"53","ACEPEN04_SH_09","ACEPEN","4","SH","ACEPEN04_SH","WS2","20","08","chill2","ACE",50,24,NA,NA,NA,NA,NA,NA
"54","ACEPEN04_SH_11","ACEPEN","4","SH","ACEPEN04_SH","CS0","15","08","chill0","ACE",68,21,NA,NA,NA,NA,NA,NA
"55","ACEPEN04_SH_12","ACEPEN","4","SH","ACEPEN04_SH","CL0","15","12","chill0","ACE",54,32,NA,NA,NA,NA,NA,NA
"56","ACEPEN06_SH_01","ACEPEN","6","SH","ACEPEN06_SH","WL0","20","12","chill0","ACE",33,18,7.94,5.6,353.4641262,31.206091954023,2,26.7642290485155
"57","ACEPEN06_SH_02","ACEPEN","6","SH","ACEPEN06_SH","WL2","20","12","chill2","ACE",27,20,7.94,5.6,353.4641262,31.206091954023,2,26.7642290485155
"58","ACEPEN06_SH_03","ACEPEN","6","SH","ACEPEN06_SH","WS0","20","08","chill0","ACE",40,18,7.94,5.6,353.4641262,31.206091954023,2,26.7642290485155
"59","ACEPEN06_SH_04","ACEPEN","6","SH","ACEPEN06_SH","CS0","15","08","chill0","ACE",82,21,7.94,5.6,353.4641262,31.206091954023,2,26.7642290485155
"60","ACEPEN06_SH_05","ACEPEN","6","SH","ACEPEN06_SH","CS2","15","08","chill2","ACE",44,13,7.94,5.6,353.4641262,31.206091954023,2,26.7642290485155
"61","ACEPEN06_SH_06","ACEPEN","6","SH","ACEPEN06_SH","CL1","15","12","chill1","ACE",51,8,7.94,5.6,353.4641262,31.206091954023,2,26.7642290485155
"62","ACEPEN06_SH_07","ACEPEN","6","SH","ACEPEN06_SH","CS1","15","08","chill1","ACE",44,9,7.94,5.6,353.4641262,31.206091954023,2,26.7642290485155
"63","ACEPEN06_SH_08","ACEPEN","6","SH","ACEPEN06_SH","WL1","20","12","chill1","ACE",NA,8,7.94,5.6,353.4641262,31.206091954023,2,26.7642290485155
"64","ACEPEN06_SH_09","ACEPEN","6","SH","ACEPEN06_SH","CL2","15","12","chill2","ACE",30,13,7.94,5.6,353.4641262,31.206091954023,2,26.7642290485155
"65","ACEPEN06_SH_10","ACEPEN","6","SH","ACEPEN06_SH","CL0","15","12","chill0","ACE",48,20,7.94,5.6,353.4641262,31.206091954023,2,26.7642290485155
"66","ACEPEN06_SH_11","ACEPEN","6","SH","ACEPEN06_SH","WS2","20","08","chill2","ACE",NA,13,7.94,5.6,353.4641262,31.206091954023,2,26.7642290485155
"67","ACEPEN07_SH_01","ACEPEN","7","SH","ACEPEN07_SH","CS1","15","08","chill1","ACE",NA,23,11.43,6.7,341.511233,32.8449382716049,1.84313725490196,28.8755417900143
"68","ACEPEN07_SH_02","ACEPEN","7","SH","ACEPEN07_SH","WS2","20","08","chill2","ACE",41,24,11.43,6.7,341.511233,32.8449382716049,1.84313725490196,28.8755417900143
"69","ACEPEN07_SH_03","ACEPEN","7","SH","ACEPEN07_SH","CL2","15","12","chill2","ACE",NA,16,11.43,6.7,341.511233,32.8449382716049,1.84313725490196,28.8755417900143
"70","ACEPEN07_SH_04","ACEPEN","7","SH","ACEPEN07_SH","WL1","20","12","chill1","ACE",NA,13,11.43,6.7,341.511233,32.8449382716049,1.84313725490196,28.8755417900143
"71","ACEPEN07_SH_05","ACEPEN","7","SH","ACEPEN07_SH","CS0","15","08","chill0","ACE",82,39,11.43,6.7,341.511233,32.8449382716049,1.84313725490196,28.8755417900143
"72","ACEPEN07_SH_07","ACEPEN","7","SH","ACEPEN07_SH","CL0","15","12","chill0","ACE",61,32,11.43,6.7,341.511233,32.8449382716049,1.84313725490196,28.8755417900143
"73","ACEPEN07_SH_08","ACEPEN","7","SH","ACEPEN07_SH","WL2","20","12","chill2","ACE",NA,14,11.43,6.7,341.511233,32.8449382716049,1.84313725490196,28.8755417900143
"74","ACEPEN07_SH_09","ACEPEN","7","SH","ACEPEN07_SH","WS0","20","08","chill0","ACE",40,27,11.43,6.7,341.511233,32.8449382716049,1.84313725490196,28.8755417900143
"75","ACEPEN07_SH_10","ACEPEN","7","SH","ACEPEN07_SH","CS2","15","08","chill2","ACE",NA,17,11.43,6.7,341.511233,32.8449382716049,1.84313725490196,28.8755417900143
"76","ACEPEN07_SH_11","ACEPEN","7","SH","ACEPEN07_SH","CL1","15","12","chill1","ACE",NA,17,11.43,6.7,341.511233,32.8449382716049,1.84313725490196,28.8755417900143
"77","ACEPEN07_SH_12","ACEPEN","7","SH","ACEPEN07_SH","WL0","20","12","chill0","ACE",42,26,11.43,6.7,341.511233,32.8449382716049,1.84313725490196,28.8755417900143
"78","ACEPEN08_SH_01","ACEPEN","8","SH","ACEPEN08_SH","WS0","20","08","chill0","ACE",56,27,4,2.4,414.9361481,26.316017699115,2.06818181818182,19.3924635445631
"79","ACEPEN08_SH_02","ACEPEN","8","SH","ACEPEN08_SH","CL1","15","12","chill1","ACE",57,13,4,2.4,414.9361481,26.316017699115,2.06818181818182,19.3924635445631
"80","ACEPEN08_SH_03","ACEPEN","8","SH","ACEPEN08_SH","CL0","15","12","chill0","ACE",82,32,4,2.4,414.9361481,26.316017699115,2.06818181818182,19.3924635445631
"81","ACEPEN08_SH_04","ACEPEN","8","SH","ACEPEN08_SH","CS2","15","08","chill2","ACE",NA,13,4,2.4,414.9361481,26.316017699115,2.06818181818182,19.3924635445631
"82","ACEPEN08_SH_05","ACEPEN","8","SH","ACEPEN08_SH","CS1","15","08","chill1","ACE",52,15,4,2.4,414.9361481,26.316017699115,2.06818181818182,19.3924635445631
"83","ACEPEN08_SH_06","ACEPEN","8","SH","ACEPEN08_SH","CS0","15","08","chill0","ACE",82,39,4,2.4,414.9361481,26.316017699115,2.06818181818182,19.3924635445631
"84","ACEPEN08_SH_07","ACEPEN","8","SH","ACEPEN08_SH","CL2","15","12","chill2","ACE",50,13,4,2.4,414.9361481,26.316017699115,2.06818181818182,19.3924635445631
"85","ACEPEN08_SH_09","ACEPEN","8","SH","ACEPEN08_SH","WL1","20","12","chill1","ACE",31,13,4,2.4,414.9361481,26.316017699115,2.06818181818182,19.3924635445631
"86","ACEPEN08_SH_10","ACEPEN","8","SH","ACEPEN08_SH","WL2","20","12","chill2","ACE",27,14,4,2.4,414.9361481,26.316017699115,2.06818181818182,19.3924635445631
"87","ACEPEN08_SH_11","ACEPEN","8","SH","ACEPEN08_SH","WS2","20","08","chill2","ACE",41,24,4,2.4,414.9361481,26.316017699115,2.06818181818182,19.3924635445631
"88","ACEPEN08_SH_12","ACEPEN","8","SH","ACEPEN08_SH","WL0","20","12","chill0","ACE",39,18,4,2.4,414.9361481,26.316017699115,2.06818181818182,19.3924635445631
"89","ACEPEN09_SH_01","ACEPEN","9","SH","ACEPEN09_SH","CS1","15","08","chill1","ACE",44,9,3.7,4.3,NA,28.518,2.078125,20.9961924662937
"90","ACEPEN09_SH_02","ACEPEN","9","SH","ACEPEN09_SH","CS2","15","08","chill2","ACE",52,13,3.7,4.3,NA,28.518,2.078125,20.9961924662937
"91","ACEPEN09_SH_03","ACEPEN","9","SH","ACEPEN09_SH","WL0","20","12","chill0","ACE",NA,13,3.7,4.3,NA,28.518,2.078125,20.9961924662937
"92","ACEPEN09_SH_04","ACEPEN","9","SH","ACEPEN09_SH","WS0","20","08","chill0","ACE",40,18,3.7,4.3,NA,28.518,2.078125,20.9961924662937
"93","ACEPEN09_SH_05","ACEPEN","9","SH","ACEPEN09_SH","CL0","15","12","chill0","ACE",48,20,3.7,4.3,NA,28.518,2.078125,20.9961924662937
"94","ACEPEN09_SH_06","ACEPEN","9","SH","ACEPEN09_SH","WL2","20","12","chill2","ACE",NA,14,3.7,4.3,NA,28.518,2.078125,20.9961924662937
"95","ACEPEN09_SH_07","ACEPEN","9","SH","ACEPEN09_SH","CS0","15","08","chill0","ACE",68,33,3.7,4.3,NA,28.518,2.078125,20.9961924662937
"96","ACEPEN09_SH_08","ACEPEN","9","SH","ACEPEN09_SH","WS2","20","08","chill2","ACE",41,13,3.7,4.3,NA,28.518,2.078125,20.9961924662937
"97","ACEPEN09_SH_10","ACEPEN","9","SH","ACEPEN09_SH","CL1","15","12","chill1","ACE",30,8,3.7,4.3,NA,28.518,2.078125,20.9961924662937
"98","ACEPEN09_SH_11","ACEPEN","9","SH","ACEPEN09_SH","CL2","15","12","chill2","ACE",37,13,3.7,4.3,NA,28.518,2.078125,20.9961924662937
"99","ACEPEN09_SH_12","ACEPEN","9","SH","ACEPEN09_SH","WL1","20","12","chill1","ACE",38,13,3.7,4.3,NA,28.518,2.078125,20.9961924662937
"100","ACEPEN11_HF_01","ACEPEN","11","HF","ACEPEN11_HF","WS2","20","08","chill2","ACE",41,24,5,3.25,NA,34.174358974359,2.72340425531915,23.3823699969994
"101","ACEPEN11_HF_02","ACEPEN","11","HF","ACEPEN11_HF","CL2","15","12","chill2","ACE",37,13,5,3.25,NA,34.174358974359,2.72340425531915,23.3823699969994
"102","ACEPEN11_HF_03","ACEPEN","11","HF","ACEPEN11_HF","WL1","20","12","chill1","ACE",31,13,5,3.25,NA,34.174358974359,2.72340425531915,23.3823699969994
"103","ACEPEN11_HF_04","ACEPEN","11","HF","ACEPEN11_HF","CS0","15","08","chill0","ACE",68,33,5,3.25,NA,34.174358974359,2.72340425531915,23.3823699969994
"104","ACEPEN11_HF_05","ACEPEN","11","HF","ACEPEN11_HF","WL2","20","12","chill2","ACE",36,14,5,3.25,NA,34.174358974359,2.72340425531915,23.3823699969994
"105","ACEPEN11_HF_06","ACEPEN","11","HF","ACEPEN11_HF","WL0","20","12","chill0","ACE",39,6,5,3.25,NA,34.174358974359,2.72340425531915,23.3823699969994
"106","ACEPEN11_HF_07","ACEPEN","11","HF","ACEPEN11_HF","WS0","20","08","chill0","ACE",NA,26,5,3.25,NA,34.174358974359,2.72340425531915,23.3823699969994
"107","ACEPEN11_HF_08","ACEPEN","11","HF","ACEPEN11_HF","CS2","15","08","chill2","ACE",44,17,5,3.25,NA,34.174358974359,2.72340425531915,23.3823699969994
"108","ACEPEN11_HF_09","ACEPEN","11","HF","ACEPEN11_HF","CL1","15","12","chill1","ACE",30,13,5,3.25,NA,34.174358974359,2.72340425531915,23.3823699969994
"109","ACEPEN11_HF_11","ACEPEN","11","HF","ACEPEN11_HF","CS1","15","08","chill1","ACE",NA,23,5,3.25,NA,34.174358974359,2.72340425531915,23.3823699969994
"110","ACEPEN11_HF_12","ACEPEN","11","HF","ACEPEN11_HF","CL0","15","12","chill0","ACE",48,32,5,3.25,NA,34.174358974359,2.72340425531915,23.3823699969994
"111","ACEPEN11_SH_01","ACEPEN","11","SH","ACEPEN11_SH","WS2","20","08","chill2","ACE",41,24,6.98,5.7,NA,37.5005333333333,2.09917355371901,22.717132095659
"112","ACEPEN11_SH_02","ACEPEN","11","SH","ACEPEN11_SH","CL1","15","12","chill1","ACE",NA,17,6.98,5.7,NA,37.5005333333333,2.09917355371901,22.717132095659
"113","ACEPEN11_SH_03","ACEPEN","11","SH","ACEPEN11_SH","WL1","20","12","chill1","ACE",31,8,6.98,5.7,NA,37.5005333333333,2.09917355371901,22.717132095659
"114","ACEPEN11_SH_04","ACEPEN","11","SH","ACEPEN11_SH","CL2","15","12","chill2","ACE",50,13,6.98,5.7,NA,37.5005333333333,2.09917355371901,22.717132095659
"115","ACEPEN11_SH_05","ACEPEN","11","SH","ACEPEN11_SH","CL0","15","12","chill0","ACE",48,20,6.98,5.7,NA,37.5005333333333,2.09917355371901,22.717132095659
"116","ACEPEN11_SH_07","ACEPEN","11","SH","ACEPEN11_SH","CS1","15","08","chill1","ACE",NA,15,6.98,5.7,NA,37.5005333333333,2.09917355371901,22.717132095659
"117","ACEPEN11_SH_08","ACEPEN","11","SH","ACEPEN11_SH","CS2","15","08","chill2","ACE",52,13,6.98,5.7,NA,37.5005333333333,2.09917355371901,22.717132095659
"118","ACEPEN11_SH_09","ACEPEN","11","SH","ACEPEN11_SH","WL0","20","12","chill0","ACE",NA,26,6.98,5.7,NA,37.5005333333333,2.09917355371901,22.717132095659
"119","ACEPEN11_SH_10","ACEPEN","11","SH","ACEPEN11_SH","WL2","20","12","chill2","ACE",NA,27,6.98,5.7,NA,37.5005333333333,2.09917355371901,22.717132095659
"120","ACEPEN11_SH_11","ACEPEN","11","SH","ACEPEN11_SH","CS0","15","08","chill0","ACE",68,33,6.98,5.7,NA,37.5005333333333,2.09917355371901,22.717132095659
"121","ACEPEN11_SH_12","ACEPEN","11","SH","ACEPEN11_SH","WS0","20","08","chill0","ACE",43,26,6.98,5.7,NA,37.5005333333333,2.09917355371901,22.717132095659
"122","ACEPEN12_HF_01","ACEPEN","12","HF","ACEPEN12_HF","WL0","20","12","chill0","ACE",33,26,16.5,13.9,NA,27.5654255319149,1.59210526315789,23.2911218882631
"123","ACEPEN12_HF_02","ACEPEN","12","HF","ACEPEN12_HF","CL0","15","12","chill0","ACE",48,20,16.5,13.9,NA,27.5654255319149,1.59210526315789,23.2911218882631
"124","ACEPEN12_HF_03","ACEPEN","12","HF","ACEPEN12_HF","CL1","15","12","chill1","ACE",43,8,16.5,13.9,NA,27.5654255319149,1.59210526315789,23.2911218882631
"125","ACEPEN12_HF_04","ACEPEN","12","HF","ACEPEN12_HF","CS0","15","08","chill0","ACE",68,33,16.5,13.9,NA,27.5654255319149,1.59210526315789,23.2911218882631
"126","ACEPEN12_HF_05","ACEPEN","12","HF","ACEPEN12_HF","CL2","15","12","chill2","ACE",NA,13,16.5,13.9,NA,27.5654255319149,1.59210526315789,23.2911218882631
"127","ACEPEN12_HF_06","ACEPEN","12","HF","ACEPEN12_HF","WS0","20","08","chill0","ACE",40,18,16.5,13.9,NA,27.5654255319149,1.59210526315789,23.2911218882631
"128","ACEPEN12_HF_07","ACEPEN","12","HF","ACEPEN12_HF","WL2","20","12","chill2","ACE",NA,14,16.5,13.9,NA,27.5654255319149,1.59210526315789,23.2911218882631
"129","ACEPEN12_HF_08","ACEPEN","12","HF","ACEPEN12_HF","WS2","20","08","chill2","ACE",50,24,16.5,13.9,NA,27.5654255319149,1.59210526315789,23.2911218882631
"130","ACEPEN12_HF_10","ACEPEN","12","HF","ACEPEN12_HF","CS1","15","08","chill1","ACE",52,9,16.5,13.9,NA,27.5654255319149,1.59210526315789,23.2911218882631
"131","ACEPEN12_HF_11","ACEPEN","12","HF","ACEPEN12_HF","WL1","20","12","chill1","ACE",31,8,16.5,13.9,NA,27.5654255319149,1.59210526315789,23.2911218882631
"132","ACEPEN12_HF_12","ACEPEN","12","HF","ACEPEN12_HF","CS2","15","08","chill2","ACE",NA,17,16.5,13.9,NA,27.5654255319149,1.59210526315789,23.2911218882631
"133","ACERUB05_SH_01","ACERUB","5","SH","ACERUB05_SH","CS1","15","08","chill1","ACE",52,44,13.72,5.1,404.2677948,17.9272727272727,2,34.624635333016
"134","ACERUB05_SH_02","ACERUB","5","SH","ACERUB05_SH","CL2","15","12","chill2","ACE",43,30,13.72,5.1,404.2677948,17.9272727272727,2,34.624635333016
"135","ACERUB05_SH_03","ACERUB","5","SH","ACERUB05_SH","WS2","20","08","chill2","ACE",56,31,13.72,5.1,404.2677948,17.9272727272727,2,34.624635333016
"136","ACERUB05_SH_04","ACERUB","5","SH","ACERUB05_SH","WS0","20","08","chill0","ACE",68,56,13.72,5.1,404.2677948,17.9272727272727,2,34.624635333016
"137","ACERUB05_SH_05","ACERUB","5","SH","ACERUB05_SH","CS2","15","08","chill2","ACE",44,30,13.72,5.1,404.2677948,17.9272727272727,2,34.624635333016
"138","ACERUB05_SH_06","ACERUB","5","SH","ACERUB05_SH","WL2","20","12","chill2","ACE",NA,20,13.72,5.1,404.2677948,17.9272727272727,2,34.624635333016
"139","ACERUB05_SH_07","ACERUB","5","SH","ACERUB05_SH","CL0","15","12","chill0","ACE",68,54,13.72,5.1,404.2677948,17.9272727272727,2,34.624635333016
"140","ACERUB05_SH_08","ACERUB","5","SH","ACERUB05_SH","CS0","15","08","chill0","ACE",82,68,13.72,5.1,404.2677948,17.9272727272727,2,34.624635333016
"141","ACERUB05_SH_09","ACERUB","5","SH","ACERUB05_SH","WL1","20","12","chill1","ACE",NA,NA,13.72,5.1,404.2677948,17.9272727272727,2,34.624635333016
"142","ACERUB05_SH_10","ACERUB","5","SH","ACERUB05_SH","WL0","20","12","chill0","ACE",NA,NA,13.72,5.1,404.2677948,17.9272727272727,2,34.624635333016
"143","ACERUB05_SH_11","ACERUB","5","SH","ACERUB05_SH","CL1","15","12","chill1","ACE",37,22,13.72,5.1,404.2677948,17.9272727272727,2,34.624635333016
"144","ACERUB06_SH_01","ACERUB","6","SH","ACERUB06_SH","CL1","15","12","chill1","ACE",NA,22,12.02,13.3,102.7799478,13.892816091954,1.88059701492537,30.8421200536741
"145","ACERUB06_SH_02","ACERUB","6","SH","ACERUB06_SH","WL1","20","12","chill1","ACE",31,17,12.02,13.3,102.7799478,13.892816091954,1.88059701492537,30.8421200536741
"146","ACERUB06_SH_03","ACERUB","6","SH","ACERUB06_SH","WS0","20","08","chill0","ACE",34,27,12.02,13.3,102.7799478,13.892816091954,1.88059701492537,30.8421200536741
"147","ACERUB06_SH_04","ACERUB","6","SH","ACERUB06_SH","CS0","15","08","chill0","ACE",NA,39,12.02,13.3,102.7799478,13.892816091954,1.88059701492537,30.8421200536741
"148","ACERUB06_SH_05","ACERUB","6","SH","ACERUB06_SH","CL0","15","12","chill0","ACE",NA,43,12.02,13.3,102.7799478,13.892816091954,1.88059701492537,30.8421200536741
"149","ACERUB06_SH_06","ACERUB","6","SH","ACERUB06_SH","WL2","20","12","chill2","ACE",NA,NA,12.02,13.3,102.7799478,13.892816091954,1.88059701492537,30.8421200536741
"150","ACERUB06_SH_07","ACERUB","6","SH","ACERUB06_SH","CL2","15","12","chill2","ACE",50,13,12.02,13.3,102.7799478,13.892816091954,1.88059701492537,30.8421200536741
"151","ACERUB06_SH_08","ACERUB","6","SH","ACERUB06_SH","CS1","15","08","chill1","ACE",NA,23,12.02,13.3,102.7799478,13.892816091954,1.88059701492537,30.8421200536741
