date,site,species,no,stem.wt,dist.top,dist.btm,ht,dbh,dbh2,dbh3
11-Jun,afrf,amealn,2,,,,157.7,1.183,,
11-Jun,afrf,amealn,3,,,,234.2,1.986,,
11-Jun,afrf,amealn,5,,,,210.4,2.357,,
02-Jul,afrf,amealn,6,,,,274.7,1.536,,
02-Jul,afrf,amealn,7,,,,243.4,1.432,1.036,
02-Jul,afrf,amealn,8,,,,204.6,1.238,1.387,1.034
02-Jul,afrf,amealn,9,,,,182.1,1.293,,
02-Jul,afrf,amealn,10,,,,198,1.095,,
02-Jul,afrf,amealn,12,,,,364.2,1.002,,
11-Jun,afrf,betpap,1,,19,14,,36.9,,
12-Jun,afrf,betpap,3,,13,8,,10.5,,
12-Jun,afrf,betpap,4,,12,8,,18,,
12-Jun,afrf,betpap,5,,14,7,,18.5,,
11-Jun,afrf,betpap,7,,12,10,,10,,
11-Jun,afrf,betpap,8,,13,8,,12.6,,
11-Jun,afrf,betpap,9,,14,11,,12.9,,
11-Jun,afrf,betpap,10,,10,8,,9.9,,
11-Jun,afrf,betpap,11,,20,14,,33.1,,
12-Jun,afrf,betpap,2_02,,12,9,,9.9,,
12-Jun,afrf,betpap ,6,,13,8,,10.6,,
11-Jun,afrf,corsto,1,,,,131.8,14.1,,
13-Jun,afrf,corsto,3,,,,363.2,1.534,0.67,
11-Jun,afrf,corsto,4,,,,223.1,1.451,,
11-Jun,afrf,corsto,5,,,,319.8,2.971,,
02-Jul,afrf,corsto,6,,,,160,1.701,,
02-Jul,afrf,corsto,7,,,,181,1.809,,
02-Jul,afrf,corsto,8,,,,161.6,0.954,,
02-Jul,afrf,corsto,9,,,,273.8,1.124,,
02-Jul,afrf,corsto,10,,,,232.4,1.732,1.538,
03-Jul,afrf,corsto,11,,,,272.4,2.348,,
12-Jun,afrf,loninv,1,,,,123.4,1.275,,
11-Jun,afrf,loninv,2,,,,117.3,1.164,,
11-Jun,afrf,loninv,3,,,,139.6,1.201,,
02-Jul,afrf,loninv,4,,,,122.1,0.721,,
02-Jul,afrf,loninv,5,,,,120.8,1.198,,
03-Jul,afrf,loninv,6,,,,140.6,1.111,,
13-Jun,afrf,loninv,8,,,,106.2,1.007,,
04-Jul,afrf,loninv,9,,,,179,1.555,,
03-Jul,afrf,loninv,11,,,,159.2,2.74,1.599,3.474
12-Jun,afrf,loninv,3_02,,,,246.3,2.071,,
11-Jun,afrf,popbal,1,,7,6,,6.3,6.5,6.2
11-Jun,afrf,popbal,2,,28,21,,34.6,,
12-Jun,afrf,popbal,2,,18,12,,14.2,,
11-Jun,afrf,popbal,3,,9,7,,10.8,,
02-Jul,afrf,popbal,4,,11,8,,5.742,,
02-Jul,afrf,popbal,5,,10,8,,5.96,,
02-Jul,afrf,popbal,6,,7,4,,4.672,,
02-Jul,afrf,popbal,7,,6,5,,4.175,1.496,
02-Jul,afrf,popbal,8,,6,5,,2.499,,
03-Jul,afrf,popbal,9,,11,8,,9.906,,
02-Jul,afrf,poptre,3,,6,8,,5.4,,
02-Jul,afrf,poptre,4,,7,5,,4.4,,
02-Jul,afrf,poptre,5,,6,5,,6,,
02-Jul,afrf,poptre,6,,15,8,,12.7,,
13-Jun,afrf,poptre,8,,6,4,,8.1,,
13-Jun,afrf,poptre,9,,9,4,,8,,
11-Jun,afrf,poptre,10,,,,420.9,3.6,,
13-Jun,afrf,poptre,11,,11,8,,11.7,,
13-Jun,afrf,poptre,12,,21,11,,17.5,,
02-Jul,afrf,poptre,12,,10,5,,7.844,,
13-Jun,afrf,poptre,13,,17,14,,6,,
02-Jul,afrf,poptre,15,,,,291,2.744,,
12-Jun,afrf,riblac,1,,,,46,0.408,,
12-Jun,afrf,riblac,2,,,,53.1,0.687,,
02-Jul,afrf,riblac,4,,,,90,0.721,,
02-Jul,afrf,riblac,6,,,,107.3,0.636,0.6,
02-Jul,afrf,riblac,7,,,,92.1,0.799,,
04-Jul,afrf,riblac,8,,,,143.1,0.91,,
03-Jul,afrf,riblac,9,,,,,,,
03-Jul,afrf,riblac,10,,,,129.4,0.803,,
03-Jul,afrf,riblac,11,,,,91.5,0.756,,
04-Jul,afrf,riblac,12,,,,112.9,0.808,,
12-Jun,afrf,riblac,20,,,,75.5,0.504,,
12-Jun,afrf,rosaci,1,,,,154.6,0.842,,
11-Jun,afrf,rosaci,2,,,,184.6,1.452,,
11-Jun,afrf,rosaci,3,,,,144.3,1.051,,
13-Jun,afrf,rosaci,4,,,,151.3,1.063,,
11-Jun,afrf,rosaci,5,,,,176.4,1.508,,
02-Jul,afrf,rosaci,8,,,,98.6,0.722,,
02-Jul,afrf,rosgym,1,,,,101.7,0.639,,
02-Jul,afrf,rosgym,2,,,,83.6,0.438,,
02-Jul,afrf,rosgym,3,,,,109.7,0.649,,
03-Jul,afrf,rosgym,4,,,,96,0.543,,
03-Jul,afrf,rosgym,5,,,,157.2,0.808,,
02-Jul,afrf,rosgym,6,,,,91.4,0.749,,
02-Jul,afrf,rosgym,7,,,,150,1.077,,
03-Jul,afrf,rosgym,8,,,,120.3,0.808,,
02-Jul,afrf,rosgym,10,,,,148.6,0.911,0.886,0.657
04-Jul,afrf,rosgym,11,,,,97.4,0.569,,
02-Jul,afrf,rubida,4,,,,71.5,0.477,,
04-Jul,afrf,rubida,6,,,,88.5,0.656,,
02-Jul,afrf,rubida,10,,,,87.6,0.607,,
02-Jul,afrf,rubida,11,,,,146.1,0.767,,
03-Jul,afrf,rubida,12,,,,106.1,0.649,,
03-Jul,afrf,rubida,13,,,,91.3,0.54,,
04-Jul,afrf,rubida,14,,,,131.4,1.082,,
04-Jul,afrf,rubida,15,,,,130.1,0.781,,
04-Jul,afrf,rubida,16,,,,124.7,0.793,,
04-Jul,afrf,rubida,17,,,,104.2,0.592,,
11-Jun,afrf,rubida ,1,,,,81.2,0.645,0.571,0.521
13-Jun,afrf,rubpar,2,,,,91,0.787,,
13-Jun,afrf,rubpar,3,,,,116.9,0.846,,
11-Jun,afrf,rubpar,4,,,,69.1,0.636,,
02-Jul,afrf,rubpar,5,,,,59.1,0.463,,
02-Jul,afrf,rubpar,6,,,,64.4,0.484,0.552,0.426
02-Jul,afrf,rubpar,9,,,,75.2,0.621,,
03-Jul,afrf,rubpar,10,,,,127.6,0.69,,
03-Jul,afrf,rubpar,11,,,,104.3,0.709,,
03-Jul,afrf,rubpar,13,,,,88.4,0.658,,
03-Jul,afrf,rubpar,15,,,,140,0.881,,
03-Jul,afrf,rubpar,16,,,,140,1.031,,
03-Jul,afrf,rubpar,19,,,,89.1,0.616,,
11-Jun,afrf,rubspe,1,,,,121.8,0.628,0.636,0.784
11-Jun,afrf,rubspe,7,,,,167.2,0.581,,
12-Jun,afrf,rubspe,10,,,,76.6,0.409,,
11-Jun,afrf,samrac,1,,,,219.4,3.071,,
11-Jun,afrf,samrac,3,,,,183.4,1.858,,
04-Jul,afrf,samrac,4,,,,180.5,1.91,,
04-Jul,afrf,samrac,5,,,,197.5,1.87,,
03-Jul,afrf,samrac,6,,,,208.4,3.365,,
03-Jul,afrf,samrac,7,,,,221,1.726,1.384,1.791
11-Jun,afrf,samrac,9,,,,166.2,1.383,,
03-Jul,afrf,samrac,10,,,,169.1,2.919,,
04-Jul,afrf,samrac,12,,,,251.2,2.45,,
04-Jul,afrf,samrac,13,,,,235.6,2.054,,
11-Jun,afrf,shecan,1,,,,74.2,0.946,,
13-Jun,afrf,shecan,2,,,,103,1.315,,
13-Jun,afrf,shecan,3,,,,79.6,0.789,0.64,0.731
11-Jun,afrf,shecan,4,,,,87.7,0.958,,
11-Jun,afrf,shecan,5,,,,150.6,2.439,,
02-Jul,afrf,shecan,6,,,,157,0.986,1.087,0.88
02-Jul,afrf,shecan,7,,,,153.5,1.342,1.484,
02-Jul,afrf,shecan,8,,,,147.1,1.841,,
02-Jul,afrf,shecan,9,,,,104.4,1.139,,
02-Jul,afrf,shecan,10,,,,169.5,2.444,,
11-Jun,afrf,sorsco,2,,,,,2.825,,
12-Jun,afrf,sorsco,3,,7,5,,1.719,,
13-Jun,afrf,sorsco,3,,,,173.3,3.2,4,
02-Jul,afrf,sorsco,6,,,,132,1.226,0.984,
02-Jul,afrf,sorsco,7,,,,207.2,1.538,1.468,
02-Jul,afrf,sorsco,8,,,,438.8,1.799,,
02-Jul,afrf,sorsco,9,,,,364.2,1.271,1.407,
02-Jul,afrf,sorsco,10,,,,391.4,1.295,,
02-Jul,afrf,sorsco,11,,,,346.6,2.772,,
03-Jul,afrf,sorsco,13,,,,209.4,2.246,,
12-Jun,afrf,spibet,1,,,,46.5,0.315,,
11-Jun,afrf,spibet,2,,,,55,0.559,,
13-Jun,afrf,spibet,4,,,,5.05,0.299,,
11-Jun,afrf,spibet,5,,,,63.6,0.392,,
11-Jun,afrf,spibet,11,,,,50.2,0.354,,
11-Jun,afrf,spibet,12,,,,51.2,0.448,,
13-Jun,afrf,spibet,13,,,,97.1,0.588,,
13-Jun,afrf,spibet,14,,,,91.2,0.565,,
12-Jun,afrf,spibet,20,,,,57.7,0.361,,
11-Jun,afrf,spibet ,06_02,,,,51.6,0.283,,
12-Jun,afrf,spidou,1,,,,83.2,0.509,,
13-Jun,afrf,spidou,2,,,,107.5,0.725,,
03-Jul,afrf,spidou,3,,,,103.2,0.495,,
13-Jun,afrf,spidou,4,,,,160.6,1.182,,
03-Jul,afrf,spidou,11,,,,129.9,0.548,,
03-Jul,afrf,spidou,12,,,,121.5,0.81,,
04-Jul,afrf,spidou,13,,,,159.2,0.685,,
13-Jun,afrf,spidou,19,,,,139.9,1.078,,
12-Jun,afrf,spidou,20,,,,98.1,0.65,,
13-Jun,afrf,spidou,19_02,,,,141.4,0.682,,
12-Jun,afrf,spipyr,1,,,,114.6,0.771,,
13-Jun,afrf,spipyr,2,,,,132.3,0.993,,
03-Jul,afrf,spipyr,11,,,,100.3,0.6,,
04-Jul,afrf,spipyr,12,,,,115.2,0.576,,
04-Jul,afrf,spipyr,13,,,,152,0.859,,
04-Jul,afrf,spipyr,14,,,,108,0.507,,
13-Jun,afrf,spipyr,16,,,,99.3,0.76,,
13-Jun,afrf,spipyr,17,,,,97.6,0.591,,
13-Jun,afrf,spipyr,18,,,,145.1,0.867,,
12-Jun,afrf,spipyr,19,,,,87.4,0.788,,
12-Jun,afrf,symalb,1,,,,73.2,0.556,,
12-Jun,afrf,symalb,2,,,,122.2,0.699,,
13-Jun,afrf,symalb,3,,,,126.4,1.031,,
11-Jun,afrf,symalb,4,,,,115.2,0.78,,
02-Jul,afrf,symalb,5,,,,114.6,0.604,,
02-Jul,afrf,symalb,6,,,,95.2,0.55,0.59,
02-Jul,afrf,symalb,7,,,,53.5,0.278,,
02-Jul,afrf,symalb,8,,,,60,0.609,,
11-Jun,afrf,symalb,11,,,,83.4,0.872,,
04-Jul,afrf,symalb,12,,,,68.9,0.531,,
12-Jun,afrf,vacmem,1,,,,44.9,0.508,,
02-Jul,afrf,vacmem,3,,,,48.2,0.521,,
02-Jul,afrf,vacmem,4,,,,30.4,0.293,,
02-Jul,afrf,vacmem,5,,,,68.1,0.971,0.876,0.759
04-Jul,afrf,vacmem,6,,,,35.6,0.366,,
04-Jul,afrf,vacmem,7,,,,55,0.574,,
04-Jul,afrf,vacmem,8,,,,51.2,0.677,,
04-Jul,afrf,vacmem,9,,,,50.1,0.864,,
04-Jul,afrf,vacmem,10,,,,28.2,0.624,,
12-Jun,afrf,vacmem,20,,,,43.8,0.493,,
12-Jun,afrf,vibedu,1,,,,111.6,0.866,,
03-Jul,afrf,vibedu,2,,,,74.8,0.822,,
12-Jun,afrf,vibedu,3,,,,111.8,0.744,,
13-Jun,afrf,vibedu,3,,,,111.8,0.93,,
02-Jul,afrf,vibedu,4,,,,80.4,1.085,,
02-Jul,afrf,vibedu,5,,,,136,1.067,,
02-Jul,afrf,vibedu,6,,,,216.9,1.392,,
02-Jul,afrf,vibedu,7,,,,118.5,0.856,,
02-Jul,afrf,vibedu,8,,,,84.7,0.571,,
02-Jul,afrf,vibedu,11,,,,123.5,0.898,,
03-Jul,afrf,vibedu,12,,,,150.9,1.345,,
29-Jul,kl,acegla,1,,6,5,,40.8,5.136,4.69
26-Jul,kl,acegla,3,,,,470.3,2.546,2.037,
24-Jul,kl,acegla,4,,7,6,,13.1,,
24-Jul,kl,acegla,5,,11,6,,9.6,6.9,
24-Jul,kl,acegla,6,,7,6,,6.1,,
24-Jul,kl,acegla,7,,12,6,,6.5,8.4,8.1
25-Jul,kl,acegla,8,,11,9,,6.143,8.48,7.224
28-Jul,kl,acegla,9,,7,6,,4.034,,
28-Jul,kl,acegla,10,,,,,10.6,,
30-Jul,kl,acegla,11,,10,7,,5.3,3.4,2.2
25-Jul,kl,alninc,1,,,,451.8,3.557,2.765,2.058
25-Jul,kl,alninc,2,,6,5,,3.575,4.041,3.482
25-Jul,kl,alninc,3,,9,7,,8.644,2.392,
25-Jul,kl,alninc,4,,7,6,,2.948,3.424,1.496
28-Jul,kl,alnrub,1,,9,7,,6.5,,
28-Jul,kl,alnrub,2,,7,5,,6.5,,
28-Jul,kl,alnrub,3,,12,10,,11.1,,
28-Jul,kl,alnrub,4,,16,12,,17.7,,
28-Jul,kl,alnrub,5,,11,10,,10.4,,
28-Jul,kl,alnrub,6,,9,3,,6.7,,
28-Jul,kl,alnrub,7,,9,8,,9.9,,
28-Jul,kl,alnrub,8,,10,8,,7.5,6,
28-Jul,kl,alnrub,9,,8,3.5,,10.1,,
28-Jul,kl,alnrub,10,,9,4,,9.8,,
26-Jul,kl,alnvir,2,,,,350.4,2.833,3.633,3.268
26-Jul,kl,alnvir,3,,,,360.1,1.582,1.764,1.861
24-Jul,kl,alnvir,5,,,,170.6,1.756,2,1.953
24-Jul,kl,alnvir,6,,,,174.9,2.288,1.396,1.929
25-Jul,kl,alnvir,7,,,,314.8,1.758,2.252,1.074
26-Jul,kl,alnvir,8,,,,307.4,1.828,1.296,1.464
28-Jul,kl,alnvir,9,,5,4,,3.809,2.552,2.27
28-Jul,kl,alnvir,10,,,,481.1,4.339,4.582,3.381
28-Jul,kl,alnvir,11,,,,452.6,3.174,2.26,2.133
28-Jul,kl,alnvir,12,,,,870.4,2.825,2.24,2.688
29-Jul,kl,amealn,1,,,,357.3,3.137,1.981,0.922
29-Jul,kl,amealn,2,,,,521,3.368,,
29-Jul,kl,amealn,3,,,,529.6,3.835,,
24-Jul,kl,amealn,4,,,,381.2,1.66,1.511,1.539
26-Jul,kl,amealn,5,,,,233.9,1.48,,
26-Jul,kl,amealn,6,,,,350.2,2.612,,
26-Jul,kl,amealn,7,,,,286.3,1.931,,
26-Jul,kl,amealn,8,,7,5,,3.464,2.252,1.985
28-Jul,kl,amealn,9,,,,217.5,2.062,,
28-Jul,kl,amealn,10,,,,213.4,2.259,,
29-Jul,kl,betpap,5,,19,16,,12.7,7.9,
24-Jul,kl,betpap,6,,15,12,,9.8,,
24-Jul,kl,betpap,7,,15,9,,11.9,,
24-Jul,kl,betpap,8,,14,10,,15.5,,
26-Jul,kl,betpap,9,,17,12,,17.1,14.9,9.9
28-Jul,kl,betpap,9,,23,16,,29.7,8.4,
28-Jul,kl,betpap,10,,16,12,,13.3,,
28-Jul,kl,betpap,11,,11,5,,8.2,,
28-Jul,kl,betpap,12,,11,9,,10.4,,
29-Jul,kl,betpap,13,,25,18,,30.3,,
29-Jul,kl,betpap,14,,19,14,,23.3,18.6,
26-Jul,kl,corsto,3,,,,351.9,3.183,2.246,2.11
24-Jul,kl,corsto,5,,,,461.8,2.674,,
24-Jul,kl,corsto,6,,,,480.8,3.2,,
24-Jul,kl,corsto,7,,,,470.8,4.85,4.612,3.148
25-Jul,kl,corsto,8,,,,215,1.914,,
25-Jul,kl,corsto,9,,,,276.4,2.39,,
25-Jul,kl,corsto,10,,,,312.7,3.181,3.748,
28-Jul,kl,corsto,11,,,,290.3,3.79,3.949,1.933
28-Jul,kl,corsto,12,,,,334.2,2.696,,
30-Jul,kl,corsto,13,,,,338.2,2.869,2.002,1.432
29-Jul,kl,loninv,1,,,,168.2,0.992,,
29-Jul,kl,loninv,2,,,,161,1.102,,
26-Jul,kl,loninv,3,,,,205.3,1.256,0.968,
26-Jul,kl,loninv,4,,,,139,1.225,,
24-Jul,kl,loninv,5,,,,102.2,0.761,,
25-Jul,kl,loninv,6,,,,130.4,1.494,,
25-Jul,kl,loninv,7,,,,140,1.879,,
25-Jul,kl,loninv,8,,,,165.7,2.07,1.954,2.223
26-Jul,kl,loninv,9,,,,167.8,1.234,1.177,0.975
26-Jul,kl,loninv,10,,,,200.5,1.889,2.225,1.602
29-Jul,kl,popbal,1,,15,12,,14.7,,
29-Jul,kl,popbal,3,,22,15,,19.5,,
24-Jul,kl,popbal,4,,29,23,,32.6,,
24-Jul,kl,popbal,5,,24,18,,23.2,,
24-Jul,kl,popbal,6,,21,14,,18.5,17.5,21.5
24-Jul,kl,popbal,7,,21,14,,25.8,,
24-Jul,kl,popbal,8,,21,16,,20.5,,
28-Jul,kl,popbal,9,,7,5,,7.2,,
28-Jul,kl,popbal,10,,27,23,,24,23.5,12.5
28-Jul,kl,popbal,11,,16,8,,20.1,,
26-Jul,kl,poptre,1,,,,577.5,2.85,,
26-Jul,kl,poptre,2,,,,461.6,2.682,,
24-Jul,kl,poptre,3,,9,7,,7.2,,
24-Jul,kl,poptre,4,,7,6,,6.1,,
28-Jul,kl,poptre,5,,16,7,,21.7,,
28-Jul,kl,poptre,6,,10,7,,9.9,,
28-Jul,kl,poptre,7,,14,11,,11.8,,
29-Jul,kl,poptre,8,,15,10,,13.3,,
29-Jul,kl,poptre,9,,12,8,,8.8,,
29-Jul,kl,poptre,10,,20,15,,20,,
25-Jul,kl,rhoalb,1,,,,102.3,1.76,,
25-Jul,kl,rhoalb,2,,,,131.6,1.639,1.279,1.587
30-Jul,kl,rhoalb,3,,,,110.4,1.228,1.447,1.453
30-Jul,kl,rhoalb,4,,,,133.1,1.288,1.649,1.187
30-Jul,kl,rhoalb,5,,,,191.4,1.643,0.999,
30-Jul,kl,rhoalb,6,,,,201.2,1.744,1.433,0.75
30-Jul,kl,rhoalb,7,,,,181.6,1.742,1.296,1.212
30-Jul,kl,rhoalb,8,,,,120.6,0.985,,
30-Jul,kl,rhoalb,9,,,,166,1.901,,
30-Jul,kl,rhoalb,10,,,,110.3,1.392,1.375,
29-Jul,kl,riblac,1,,,,151.9,0.648,0.62,
29-Jul,kl,riblac,2,,,,140.4,0.592,,
29-Jul,kl,riblac,3,,,,122.2,0.849,,
26-Jul,kl,riblac,7,,,,53.8,0.337,0.377,
26-Jul,kl,riblac,8,,,,86.1,0.728,,
24-Jul,kl,riblac,9,,,,55.3,0.565,2.422,
28-Jul,kl,riblac,10,,,,50.1,0.471,,
28-Jul,kl,riblac,11,,,,121.4,0.742,,
29-Jul,kl,riblac,13,,,,130.4,0.743,,
29-Jul,kl,riblac,12_02,,,,106.8,0.655,0.69,
29-Jul,kl,rosgym,1,,,,147.2,0.676,,
29-Jul,kl,rosgym,2,,,,146.1,0.885,,
26-Jul,kl,rosgym,4,,,,127.5,0.972,,
24-Jul,kl,rosgym,6,,,,165.9,1.008,,
24-Jul,kl,rosgym,7,,,,112.7,1.054,,
26-Jul,kl,rosgym,8,,,,186.7,1.26,1.148,0.768
26-Jul,kl,rosgym,9,,,,121,8.2,,
28-Jul,kl,rosgym,10,,,,119.2,0.278,,
28-Jul,kl,rosgym,11,,,,74.6,0.518,,
28-Jul,kl,rosgym,12,,,,101.4,0.672,,
29-Jul,kl,rubida,1,,,,136.2,0.654,,
28-Jul,kl,rubida,2,,,,62,0.426,,
28-Jul,kl,rubida,3,,,,131,0.747,,
28-Jul,kl,rubida,4,,,,78.7,0.499,,
29-Jul,kl,rubida,5,,,,68.4,0.473,,
29-Jul,kl,rubida,6,,,,92.9,0.599,,
29-Jul,kl,rubida,7,,,,97.8,0.59,,
30-Jul,kl,rubida,8,,,,126.1,0.689,,
29-Jul,kl,rubpar,1,,,,108.6,0.574,0.765,
26-Jul,kl,rubpar,3,,,,128.6,0.731,,
26-Jul,kl,rubpar,4,,,,96.2,0.69,,
24-Jul,kl,rubpar,6,,,,72.2,0.761,,
24-Jul,kl,rubpar,7,,,,67.5,0.718,,
24-Jul,kl,rubpar,8,,,,83.6,0.725,,
25-Jul,kl,rubpar,9,,,,67.6,0.655,,
26-Jul,kl,rubpar,10,,,,98.5,0.802,0.856,
26-Jul,kl,rubpar,11,,,,90.6,0.727,,
28-Jul,kl,rubpar,12,,,,91,0.616,,
24-Jul,kl,samrac,1,,,,122,1.469,1.219,1.45
24-Jul,kl,samrac,2,,,,210.8,2.409,1.693,2.422
24-Jul,kl,samrac,3,,,,195.1,7.269,,
24-Jul,kl,samrac,4,,,,148.4,1.575,1.62,1.622
25-Jul,kl,samrac,5,,,,160.4,1.602,2.46,1.759
25-Jul,kl,samrac,6,,,,102.7,1.144,1.027,0.97
25-Jul,kl,samrac,7,,,,196.1,2.126,1.138,1.999
25-Jul,kl,samrac,8,,,,223.7,2.261,2.078,2.694
25-Jul,kl,samrac,9,,,,211,2.237,2.134,2.128
25-Jul,kl,samrac,10,,,,218,2.964,2.145,
29-Jul,kl,shecan,1,,,,148.5,1.45,,
29-Jul,kl,shecan,2,,,,200.4,3.187,,
29-Jul,kl,shecan,3,,,,224.5,3.704,2.646,
26-Jul,kl,shecan,4,,,,171.2,1.904,1.25,1.185
29-Jul,kl,shecan,4,,,,168.5,3.679,,
26-Jul,kl,shecan,5,,,,218.9,3.985,,
24-Jul,kl,shecan,6,,,,159.3,1.401,2.031,2.819
24-Jul,kl,shecan,7,,,,163.2,2.391,1.753,1.825
24-Jul,kl,shecan,8,,,,204.2,4.577,,
26-Jul,kl,shecan,9,,,,237.2,5.292,,
26-Jul,kl,sorsco,1,,,,175.6,1.612,,
26-Jul,kl,sorsco,2,,,,382.2,2.8,,
26-Jul,kl,sorsco,3,,,,212.5,1.456,1.168,0.798
26-Jul,kl,sorsco,4,,10,8,,3.71,,
26-Jul,kl,sorsco,5,,,,250.7,2.502,,
25-Jul,kl,sorsco,6,,,,207.8,2.564,,
25-Jul,kl,sorsco,7,,,,272.2,2.247,2.322,2.354
25-Jul,kl,sorsco,8,,,,479.5,4.465,3.745,1.245
25-Jul,kl,sorsco,9,,,,337.4,2.591,,
26-Jul,kl,sorsco,10,,,,547.9,2.624,,
24-Jul,kl,spibet,3,,,,57.6,0.443,,
24-Jul,kl,spibet,4,,,,40.4,0.316,,
25-Jul,kl,spibet,5,,,,71.7,0.577,,
25-Jul,kl,spibet,6,,,,54.3,0.356,,
25-Jul,kl,spibet,7,,,,57.7,0.335,1.229,
26-Jul,kl,spibet,8,,,,65.5,0.398,,
26-Jul,kl,spibet,9,,,,55.3,0.292,,
26-Jul,kl,spibet,10,,,,70.2,0.51,,
26-Jul,kl,spibet,11,,,,75.6,4.71,,
28-Jul,kl,spibet,12,,,,62.8,0.33,,
29-Jul,kl,symalb,1,,,,143.1,1.003,0.917,0.985
26-Jul,kl,symalb,2,,,,121.5,0.837,,
29-Jul,kl,symalb,2,,,,166.5,1.036,1.069,
26-Jul,kl,symalb,3,,,,66.6,0.6,,
24-Jul,kl,symalb,7,,,,75.6,0.566,,
24-Jul,kl,symalb,8,,,,136,1.033,,
24-Jul,kl,symalb,9,,,,91.1,0.842,,
26-Jul,kl,symalb,10,,,,128.3,0.961,0.93,
26-Jul,kl,symalb,11,,,,82.4,0.666,,
28-Jul,kl,symalb,12,,,,79.2,0.411,,
25-Jul,kl,vacmem,1,,,,65.7,1.187,,
25-Jul,kl,vacmem,2,,,,91.5,1.558,,
25-Jul,kl,vacmem,3,,,,91.1,1.387,,
25-Jul,kl,vacmem,4,,,,80.1,1.102,,
25-Jul,kl,vacmem,5,,,,78.6,0.764,,
25-Jul,kl,vacmem,6,,,,80.4,1.087,,
25-Jul,kl,vacmem,7,,,,75,1.143,,
25-Jul,kl,vacmem,8,,,,65.2,1.336,,
25-Jul,kl,vacmem,9,,,,73.4,1.148,,
25-Jul,kl,vacmem,10,,,,61,0.777,,
30-Jul,kl,vacmem,11,,,,42,0.625,,
26-Jul,kl,vibedu,1,,,,190.5,1.594,,
26-Jul,kl,vibedu,2,,,,66.2,0.609,0.406,
26-Jul,kl,vibedu,3,,,,161,1.466,1.157,
25-Jul,kl,vibedu,4,,,,181.6,1.55,1.191,
25-Jul,kl,vibedu,5,,,,136.4,1.704,1.07,
25-Jul,kl,vibedu,6,,,,139.9,0.888,1.253,
25-Jul,kl,vibedu,7,,,,168,2.137,,
25-Jul,kl,vibedu,8,,,,183.1,1.484,1.698,1.513
25-Jul,kl,vibedu,9,,,,310,1.599,1.191,
25-Jul,kl,vibedu,10,,,,223.3,2.912,,
25-Jun,mp,acegla,1,,,,554.4,2.778,5.005,1.585
25-Jun,mp,acegla,2,,,,267.6,1.126,,
26-Jun,mp,acegla,3,,,,638.8,3.3,3.4,2.1
26-Jun,mp,acegla,4,,,,336.1,1.959,1.595,1.44
26-Jun,mp,acegla,5,,6,5,,6.2,3.5,3
23-Jun,mp,acegla,7,,7,5,,4.482,7.672,7.287
23-Jun,mp,acegla,8,,7,5,,3.5,,
23-Jun,mp,acegla,9,,6,5,,3.3,,
23-Jun,mp,acegla,10,,7,5,,4.7,3.7,
26-Jun,mp,acegla,10,,7,6,,8.2,8.5,11.5
25-Jun,mp,acegla,11,,,,354.3,2.016,,
23-Jun,mp,alninc,1,,4,2,,3,4,3.5
26-Jun,mp,alninc,2,,,,314.5,2.6,3,
