date,site,species,no,vol
03-Jul,afrf,riblac,11,
03-Jul,afrf,rosgym,4,
03-Jul,afrf,rosgym,5,
03-Jul,afrf,rosgym,8,
03-Jul,afrf,rubida,12,
03-Jul,afrf,rubida,13,
03-Jul,afrf,rubpar,10,
03-Jul,afrf,rubpar,11,
03-Jul,afrf,rubpar,13,
03-Jul,afrf,rubpar,15,
03-Jul,afrf,rubpar,16,
03-Jul,afrf,rubpar,19,
03-Jul,afrf,samrac,6,
03-Jul,afrf,samrac,7,
03-Jul,afrf,samrac,10,
03-Jul,afrf,sorsco,13,
03-Jul,afrf,spidou,3,
03-Jul,afrf,spidou,11,
03-Jul,afrf,spidou,12,
03-Jul,afrf,spipyr,11,
03-Jul,afrf,vibedu,2,
03-Jul,afrf,vibedu,12,
04-Jul,afrf,alninc,12,
04-Jul,afrf,alninc,13,
04-Jul,afrf,alninc,14,
04-Jul,afrf,alnvir,13,
04-Jul,afrf,alnvir,14,
04-Jul,afrf,loninv,9,
04-Jul,afrf,riblac,12,
04-Jul,afrf,riblac,8,
04-Jul,afrf,rosgym,11,
04-Jul,afrf,rubida,6,
04-Jul,afrf,rubida,14,
04-Jul,afrf,rubida,15,
04-Jul,afrf,rubida,16,
04-Jul,afrf,rubida,17,
04-Jul,afrf,samrac,4,
04-Jul,afrf,samrac,5,
04-Jul,afrf,samrac,12,
04-Jul,afrf,samrac,13,
04-Jul,afrf,spidou,13,
04-Jul,afrf,spipyr,12,
04-Jul,afrf,spipyr,13,
04-Jul,afrf,spipyr,14,
04-Jul,afrf,symalb,12,
04-Jul,afrf,vacmem,6,
04-Jul,afrf,vacmem,7,
04-Jul,afrf,vacmem,8,
04-Jul,afrf,vacmem,9,
04-Jul,afrf,vacmem,10,
