date,site,species,no,dist.top,dist.btm,ht,dbh,dbh2,dbh3,vol
30-May,sm,rhoalb,2,5,3,,2.6,,,
30-May,sm,rhoalb,3,10,8,,4.7,,,
30-May,sm,rhoalb,4,10,7,,6,,,
30-May,sm,rubpar,6,,,78.9,0.65,,,
30-May,sm,shecan,1,,,124.6,2.468,,,
30-May,sm,sorsco,1,,,555.8,3.8,,,
30-May,sm,sorsco,4,,,200.4,1.74,,,
30-May,sm,symalb,7,,,149,1.176,0.956,,
30-May,sm,vibedu,1,,,107.8,0.768,,,
30-May,sm,vibedu,9,,,176.1,1.26,,,
30-May,sm,vibedu,10,,,143.4,8.73,,,
31-May,sm,amealn,1,9,7,,6.7,6.3,8.6,
31-May,sm,amealn,3,6,5,,3,3,3,
31-May,sm,amealn,4,4,3,,3.1,,,
31-May,sm,amealn,5,9,8,,3.4,,,
31-May,sm,amealn,6,12,10,,5.1,4.3,4.1,
31-May,sm,amealn,7,4,3,,3.3,,,
31-May,sm,betpap,1,12,7,,19,,,
31-May,sm,loninv,1,,,176.7,1.464,,,
31-May,sm,loninv,2,,,142.5,0.902,,,
31-May,sm,poptre,7,7,5,,7.2,,,
31-May,sm,poptre,10,9,7,,9.8,,,
31-May,sm,poptre,11,8,6,,10.9,,,
31-May,sm,poptre,12,7,5,,13.7,,,
31-May,sm,poptre,13,14,8,,27.4,,,
31-May,sm,poptre,14,9,7,,15.9,,,
31-May,sm,rhoalb,1,8,7,,3.4,,,
31-May,sm,rhoalb,5,8,7,,3.5,,,
31-May,sm,rhoalb,6,6,5,,4.5,,,
31-May,sm,rhoalb,7,4,3,,4.5,,,
31-May,sm,rhoalb,8,6,4,,4.6,,,
31-May,sm,rhoalb,9,5,3,,6.4,,,
31-May,sm,rhoalb,10,8,7,,5.1,,,
31-May,sm,riblac,2,,,156.2,1.591,1.392,3.043,
31-May,sm,riblac,3,,,191,1.315,1.479,1.553,
31-May,sm,riblac,9,,,148.3,0.678,,,
31-May,sm,rosaci,1,,,188.1,1.566,,,
31-May,sm,rosaci,2,,,218.1,2.29,,,
31-May,sm,rosaci,5,,,250.1,1.64,,,
31-May,sm,rubida,1,,,104.4,0.694,,,
31-May,sm,rubida,2,,,88.9,0.528,,,
31-May,sm,rubida,6,,,106.5,0.665,,,
31-May,sm,rubida,7,,,100.4,0.53,,,
31-May,sm,rubida,8,,,93.7,0.544,,,
31-May,sm,rubida,9,,,105,0.593,,,
31-May,sm,rubida,10,,,90,0.575,,,
31-May,sm,spidou,1,,,73.5,0.654,,,
31-May,sm,spidou,2,,,96.5,0.772,,,
31-May,sm,spidou,3,,,73.1,0.553,,,
31-May,sm,spidou,4,,,91.4,0.925,,,
31-May,sm,spidou,5,,,94.8,0.894,,,
31-May,sm,spidou,6,,,77.1,0.86,,,
31-May,sm,spidou,7,,,55.5,0.483,,,
31-May,sm,spidou,8,,,57.3,0.435,,,
31-May,sm,spidou,9,,,63.9,0.568,,,
31-May,sm,spidou,10,,,93.6,0.832,,,
31-May,sm,symalb,5,,,105.1,1.099,,,
31-May,sm,symalb,6,,,138.7,1.217,,,
31-May,sm,symalb,9,,,113.7,0.915,,,
31-May,sm,vibedu,8,,,131.6,0.898,,,
01-Jun,sm,acegla,7,10,5,,7.1,,,
01-Jun,sm,acegla,8,14,7,,1.26,,,
01-Jun,sm,acegla,13,11,8,,13.6,10.6,4.5,
01-Jun,sm,acegla,14,9,7,,0.65,,,
01-Jun,sm,acegla,15,16,12,,9.9,,,
01-Jun,sm,alninc,1,9,8,,6.1,,,
01-Jun,sm,alninc,2,9,7,,8.5,,,
01-Jun,sm,alninc,3,7,6,,6.4,,,
01-Jun,sm,alninc,4,10,7,,6.2,,,
01-Jun,sm,alninc,5,12,8,,7.3,8.3,3.4,
01-Jun,sm,betpap,5,13,8,,12.7,,,
01-Jun,sm,betpap,6,14,17,,12.9,,,
01-Jun,sm,betpap,7_2,15,8,,1.92,,,
01-Jun,sm,corsto,6,,,191,1.704,,,
01-Jun,sm,corsto,7,,,265.5,1.415,,,
01-Jun,sm,corsto,8,,,192.5,1.316,,,
01-Jun,sm,corsto,10,,,226.6,2,,,
01-Jun,sm,corsto,12,,,266,2.005,,,
01-Jun,sm,corsto,13,,,199.5,1.383,,,
01-Jun,sm,corsto,14,,,250.5,1.707,,,
01-Jun,sm,loninv,3,,,119.7,0.978,,,
01-Jun,sm,popbal,10,16,7,,15.9,,,
01-Jun,sm,rosaci,3,,,130,0.755,,,
01-Jun,sm,rosaci,6,,,137,1.177,,,
01-Jun,sm,rubpar,8,,,73.7,0.647,,,
01-Jun,sm,rubpar,9,,,79.5,0.602,,,
01-Jun,sm,shecan,6,,,135.7,2.627,,,
01-Jun,sm,shecan,7,,,181.2,1.935,,,
01-Jun,sm,shecan,8,,,137.6,2.125,,,
01-Jun,sm,shecan,9,13,8,,3.968,,,
01-Jun,sm,shecan,10,,,224.6,3.436,,,
01-Jun,sm,shecan,11,,,164.3,1.768,,,
01-Jun,sm,shecan,12,,,121.5,1.241,,,
01-Jun,sm,sorsco,5,,,229.7,1.738,,,
01-Jun,sm,sorsco,7,6,5,,2.628,,,
01-Jun,sm,sorsco,11,7,6,,6.3,,,
01-Jun,sm,spipyr,1,,,101.2,0.838,,,
01-Jun,sm,spipyr,2,,,87.1,0.674,,,
01-Jun,sm,spipyr,3,,,99.6,0.82,,,
01-Jun,sm,spipyr,4,,,67.7,0.562,,,
01-Jun,sm,spipyr,5,,,90.7,0.647,,,
01-Jun,sm,spipyr,6,,,96.1,0.585,,,
01-Jun,sm,spipyr,7,,,72.8,0.625,,,
01-Jun,sm,spipyr,8,,,11.5,0.658,,,
01-Jun,sm,spipyr,9,,,136.3,0.972,,,
01-Jun,sm,spipyr,10,,,104.5,0.513,,,
01-Jun,sm,symalb,8,,,128.4,1.178,,,
01-Jun,sm,symalb,12,,,108.5,0.735,,,
03-Jun,sm,alninc,1,8,6,,7.5,,,2.13
03-Jun,sm,alnvir,1,6,5,,6.4,3.7,2.4,2.55
03-Jun,sm,alnvir,2,,,4.13,2.1,2.4,2,2.36
03-Jun,sm,alnvir,2,7,6,,4.5,3.1,3.1,3.25
03-Jun,sm,alnvir,9,5,4.18,,5.8,5.3,6.9,2.55
03-Jun,sm,alnvir,10,,,5.22,5,5.7,6.2,2.63
03-Jun,sm,loninv,4,,,131.6,1.612,,,2.23
03-Jun,sm,menfer,4,,,160.3,1.935,1.685,1.637,1.65
03-Jun,sm,menfer,6,,,189.5,1.233,0.997,0.934,1.92
03-Jun,sm,menfer,7,,,200.6,1.78,1.255,1.323,1.51
03-Jun,sm,menfer,8,,,277.6,2.532,1.865,2.672,2.4
03-Jun,sm,menfer,9,,,267.5,3.023,3.151,2.584,2.1
03-Jun,sm,poptre,15,9,8,,8,,,4.3
03-Jun,sm,poptre,16,13,8,,17.1,,,3.7
03-Jun,sm,poptre,17,7,4,,7.5,,,2.83
03-Jun,sm,riblac,5,,,145.2,1.021,,,1.66
03-Jun,sm,riblac,6,,,113.4,0.838,,,1.72
03-Jun,sm,riblac,7,,,148.3,0.816,,,1.21
03-Jun,sm,riblac,11,,,94.8,0.706,,,2.32
03-Jun,sm,riblac,12,,,102.6,0.934,,,1.39
03-Jun,sm,rubida,11,,,195.5,0.808,,,2.11
03-Jun,sm,rubida,12,,,137.3,0.825,,,4.69
03-Jun,sm,rubpar,1,,,86.7,0.87,,,1.98
03-Jun,sm,rubpar,2,,,99.3,0.723,,,1.54
03-Jun,sm,rubpar,3,,,90.3,0.703,,,2.31
03-Jun,sm,samrac,2,,,276.1,2.857,4.518,4.988,2.74
03-Jun,sm,samrac,4,,,187,3.972,,,3.34
03-Jun,sm,samrac,5,,,185.4,1.916,3.356,,2.51
03-Jun,sm,samrac,6,,,180.6,2.554,1.941,1.938,2.29
03-Jun,sm,samrac,7,,,207.5,4.739,3.948,2.963,2.28
03-Jun,sm,sorsco,6,,,449.6,2.1,,,2.61
03-Jun,sm,sorsco,12,,,333.8,2.9,4,,3.22
03-Jun,sm,vacmem,1,,,68.9,0.73,,,2.2
03-Jun,sm,vacmem,2,,,76.1,0.785,,,2.3
03-Jun,sm,vacmem,3,,,64.6,0.692,,,2.35
03-Jun,sm,vacmem,4,,,75.8,0.846,,,1.8
03-Jun,sm,vacmem,5,,,55.6,0.665,,,1.8
03-Jun,sm,vacmem,6,,,59.5,0.475,,,1.2
03-Jun,sm,vacmem,7,,,47,0.44,,,1.91
03-Jun,sm,vibedu,5,,,143.5,0.659,,,2.43
04-Jun,sm,acegla,3,7,6,,16.1,9.7,12.6,3
04-Jun,sm,alnvir,6,,,296.3,1.221,1.234,1.123,2.51
04-Jun,sm,alnvir,19,,,331.7,3.445,3.62,2.934,2.35
04-Jun,sm,alnvir,20,7,7,,6.5,5.9,5.4,2.83
04-Jun,sm,loninv,5,,,221.4,2.573,,,1.17
04-Jun,sm,loninv,11,,,152.1,2.317,,,1.52
04-Jun,sm,menfer,10,,,109.5,1.382,1.372,0.939,1.24
04-Jun,sm,menfer,11,,,217.2,1.529,1.663,1.468,1.07
04-Jun,sm,menfer,12,,,221.4,1.847,1.72,1.98,1.17
04-Jun,sm,menfer,13,,,203.8,1.813,1.592,1.434,1.47
04-Jun,sm,menfer,14,,,178.9,2.498,1.839,1.784,1.24
04-Jun,sm,popbal,3,24,16,,37,,,4.26
04-Jun,sm,popbal,5,28,38,,88.9,,,2.73
04-Jun,sm,popbal,6,22,14,,53.2,,,3.25
04-Jun,sm,popbal,9,25,12,,53.4,,,2.78
04-Jun,sm,popbal,11,15,8,,12.8,23.3,,3.29
04-Jun,sm,popbal,12,16,11,,25.5,24.4,23.3,3.22
04-Jun,sm,popbal,20,24,16,,28.2,,,3.48
04-Jun,sm,poptre,2,13,11,,10.7,,,3.33
04-Jun,sm,poptre,3,8,6,,7.2,,,3.65
04-Jun,sm,poptre,4,17,12,,26,8.8,119.2,3.57
04-Jun,sm,poptre,5,8,7,,9.5,,,2.74
04-Jun,sm,poptre,18,7,5,,5.9,,,2.69
04-Jun,sm,poptre,19,10,8,,12.6,,,2.85
04-Jun,sm,riblac,8,,,55.6,0.577,0.703,0.831,1.51
04-Jun,sm,riblac,10,,,112.8,0.613,,,2.15
04-Jun,sm,riblac,12_2,,,75.7,0.597,,,1.25
04-Jun,sm,rubida,5,,,100.1,0.637,,,2.52
04-Jun,sm,samrac,3,,,186.4,3.244,,,1.73
04-Jun,sm,samrac,8,,,209.6,3.018,2.132,2.739,2.4
04-Jun,sm,samrac,9,,,44.8,1.843,1.948,,2.9
04-Jun,sm,samrac,10,,,279,3.973,3.728,3.201,3.64
04-Jun,sm,samrac,11,,,276,2.535,3.319,2.42,3.42
04-Jun,sm,sorsco,9,9,8,,6.1,6.9,6.6,3.06
04-Jun,sm,sorsco,10,,,270.6,3.7,5.6,4.8,3.52
04-Jun,sm,sorsco,12_02,5,3,,3.7,5.7,3.5,3.25
04-Jun,sm,symalb,2,,,155.2,1.607,1.718,1.932,1.81
04-Jun,sm,symalb,12_02,,,87.6,0.748,,,1.46
04-Jun,sm,symalb,9_02,,,160.2,1.511,1.069,1.261,2.54
04-Jun,sm,vacmem,8,,,60.9,0.748,,,3.02
04-Jun,sm,vacmem,9,,,55,0.878,,,2.7
04-Jun,sm,vacmem,10,,,56.9,0.772,,,2.65
04-Jun,sm,vibedu,11_02,,,196.8,1.004,,,2.83
05-Jun,sm,alninc,19,7,3,,7.5,6.5,5.3,5.82
05-Jun,sm,alninc,20,11,7,,10.9,7.3,6.5,5.46
05-Jun,sm,alnvir,16,,,407.9,3.8,3.2,3,2.51
05-Jun,sm,alnvir,17,5,2,,3.7,3.4,3,2.34
05-Jun,sm,alnvir,18,,,445.2,3.1,3.5,3.6,2.8
05-Jun,sm,rosaci,20,,,173.4,1.119,,,1.33
05-Jun,sm,shecan,5,,,127.9,1.483,1.26,1.311,2.15
05-Jun,sm,shecan,16,,,173.5,26.7,,,1.65
05-Jun,sm,vibedu,19,,,191.1,1.669,,,2.55
05-Jun,sm,vibedu,20,,,193.6,1.913,,,3.05
11-Jun,afrf,acegla,3,7,5,,9.3,2,,3.42
11-Jun,afrf,alninc,1,,,284.5,2.1,,,4.67
11-Jun,afrf,alninc,9,6,5,,4.7,,,2.61
11-Jun,afrf,alninc,10,10,9,,3.4,3.5,4.2,4.53
11-Jun,afrf,amealn,1,,,180.7,1.588,1.312,1.13,2.34
11-Jun,afrf,amealn,2,,,157.7,1.183,,,5.06
11-Jun,afrf,amealn,3,,,234.2,1.986,,,2.38
11-Jun,afrf,amealn,5,,,210.4,2.357,,,3.23
11-Jun,afrf,betpap,1,19,14,,36.9,,,3.86
11-Jun,afrf,betpap,7,12,10,,10,,,3.43
11-Jun,afrf,betpap,8,13,8,,12.6,,,2.94
11-Jun,afrf,betpap,9,14,11,,12.9,,,4.36
11-Jun,afrf,betpap,10,10,8,,9.9,,,4.01
11-Jun,afrf,betpap,11,20,14,,33.1,,,3.24
11-Jun,afrf,corsto,1,,,131.8,14.1,,,2.43
11-Jun,afrf,corsto,4,,,223.1,1.451,,,2.22
11-Jun,afrf,corsto,5,,,319.8,2.971,,,2.45
11-Jun,afrf,loninv,2,,,117.3,1.164,,,1.94
11-Jun,afrf,loninv,3,,,139.6,1.201,,,1.59
11-Jun,afrf,popbal,1,7,6,,6.3,6.5,6.2,3.84
11-Jun,afrf,popbal,2,28,21,,34.6,,,3.82
11-Jun,afrf,popbal,3,9,7,,10.8,,,4.38
11-Jun,afrf,poptre,10,,,420.9,3.6,,,2.9
11-Jun,afrf,rosaci,2,,,184.6,1.452,,,3.03
11-Jun,afrf,rosaci,3,,,144.3,1.051,,,3.57
11-Jun,afrf,rosaci,5,,,176.4,1.508,,,4.42
11-Jun,afrf,rubida ,1,,,81.2,0.645,0.571,0.521,3.27
11-Jun,afrf,rubpar,4,,,69.1,0.636,,,2.67
11-Jun,afrf,rubspe,1,,,121.8,0.628,0.636,0.784,2.55
11-Jun,afrf,rubspe,7,,,167.2,0.581,,,3.08
11-Jun,afrf,samrac,1,,,219.4,3.071,,,5.29
11-Jun,afrf,samrac,3,,,183.4,1.858,,,5.86
11-Jun,afrf,samrac,9,,,166.2,1.383,,,5.4
11-Jun,afrf,shecan,1,,,74.2,0.946,,,2.71
11-Jun,afrf,shecan,4,,,87.7,0.958,,,3.34
11-Jun,afrf,shecan,5,,,150.6,2.439,,,4.07
11-Jun,afrf,sorsco,2,,,,2.825,,,4.94
11-Jun,afrf,spibet,2,,,55,0.559,,,2.04
11-Jun,afrf,spibet,5,,,63.6,0.392,,,1.59
11-Jun,afrf,spibet,11,,,50.2,0.354,,,1.59
11-Jun,afrf,spibet,12,,,51.2,0.448,,,1.52
11-Jun,afrf,spibet ,06_02,,,51.6,0.283,,,0.91
11-Jun,afrf,symalb,4,,,115.2,0.78,,,3.8
11-Jun,afrf,symalb,11,,,83.4,0.872,,,3.48
12-Jun,afrf,alninc,20,,,465.3,4.1,3.3,2.8,4.05
12-Jun,afrf,alnvir,20,,,439.2,4,5.2,4.5,3.3
12-Jun,afrf,betpap,2_june12,12,9,,9.9,,,5.24
12-Jun,afrf,betpap,3,13,8,,10.5,,,3.52
12-Jun,afrf,betpap,4,12,8,,18,,,3.4
12-Jun,afrf,betpap,5,14,7,,18.5,,,3.5
12-Jun,afrf,betpap ,6,13,8,,10.6,,,3.58
12-Jun,afrf,loninv,1,,,123.4,1.275,,,2.79
12-Jun,afrf,loninv,3_jun12,,,246.3,2.071,,,3.76
12-Jun,afrf,popbal,2,18,12,,14.2,,,3
12-Jun,afrf,riblac,1,,,46,0.408,,,1.29
12-Jun,afrf,riblac,2,,,53.1,0.687,,,2.7
12-Jun,afrf,riblac,20,,,75.5,0.504,,,2.04
12-Jun,afrf,rosaci,1,,,154.6,0.842,,,2.68
12-Jun,afrf,rubspe,10,,,76.6,0.409,,,1.12
12-Jun,afrf,sorsco,3,7,5,,1.719,,,2.68
12-Jun,afrf,spibet,1,,,46.5,0.315,,,0.93
12-Jun,afrf,spibet,20,,,57.7,0.361,,,1.06
12-Jun,afrf,spidou,1,,,83.2,0.509,,,1.7
12-Jun,afrf,spidou,20,,,98.1,0.65,,,1.72
12-Jun,afrf,spipyr,1,,,114.6,0.771,,,0.99
12-Jun,afrf,spipyr,19,,,87.4,0.788,,,1.96
12-Jun,afrf,symalb,1,,,73.2,0.556,,,2.48
12-Jun,afrf,symalb,2,,,122.2,0.699,,,2.89
12-Jun,afrf,vacmem,1,,,44.9,0.508,,,1.99
12-Jun,afrf,vacmem,20,,,43.8,0.493,,,2.54
12-Jun,afrf,vibedu,1,,,111.6,0.866,,,3.99
12-Jun,afrf,vibedu,3,,,111.8,0.744,,,2.83
13-Jun,afrf,acegla,5,8,6,,3,3.4,3.2,3.08
13-Jun,afrf,acegla,6,9,6,,4.2,8.2,3.2,3.43
13-Jun,afrf,acegla,7,9,7,,5.1,6.9,9,4.11
13-Jun,afrf,acegla,8,8,6,,6.5,7.5,5.9,3.31
13-Jun,afrf,acegla,9,7,4,,4.5,6.5,7,3.61
13-Jun,afrf,acegla,10,,,489.6,2.7,4.2,4.3,3.01
13-Jun,afrf,corsto,3,,,363.2,1.534,0.67,,3.59
13-Jun,afrf,loninv,8,,,106.2,1.007,,,2.37
13-Jun,afrf,poptre,12,21,11,,17.5,,,3.89
13-Jun,afrf,poptre,13,17,14,,6,,,4.03
13-Jun,afrf,poptre,8,6,4,,8.1,,,3.89
13-Jun,afrf,poptre,9,9,4,,8,,,3.67
13-Jun,afrf,poptre,11,11,8,,11.7,,,3.31
13-Jun,afrf,rosaci,4,,,151.3,1.063,,,2.37
13-Jun,afrf,rubpar,2,,,91,0.787,,,2.68
13-Jun,afrf,rubpar,3,,,116.9,0.846,,,3.81
13-Jun,afrf,shecan,2,,,103,1.315,,,2.19
13-Jun,afrf,shecan,3,,,79.6,0.789,0.64,0.731,2.58
13-Jun,afrf,sorsco,3,,,173.3,3.2,4,,2.76
13-Jun,afrf,spibet,4,,,5.05,0.299,,,0.82
13-Jun,afrf,spibet,13,,,97.1,0.588,,,1.28
13-Jun,afrf,spibet,14,,,91.2,0.565,,,2.29
13-Jun,afrf,spidou,2,,,107.5,0.725,,,1.9
13-Jun,afrf,spidou,4,,,160.6,1.182,,,1.7
13-Jun,afrf,spidou,19,,,139.9,1.078,,,1.69
13-Jun,afrf,spidou,19_02,,,141.4,0.682,,,2.34
13-Jun,afrf,spipyr,2,,,132.3,0.993,,,2.91
13-Jun,afrf,spipyr,16,,,99.3,0.76,,,2.35
13-Jun,afrf,spipyr,17,,,97.6,0.591,,,1.94
13-Jun,afrf,spipyr,18,,,145.1,0.867,,,2.05
13-Jun,afrf,symalb,3,,,126.4,1.031,,,3.16
13-Jun,afrf,vibedu,3,,,111.8,0.93,,,2.64
22-Jun,mp,alninc,5,,,447.4,4,,,3.04
22-Jun,mp,alninc,9,,,464.8,2.7,,,3.8
22-Jun,mp,alninc,10,9,7,,6.8,5.9,8.5,3.54
22-Jun,mp,alnrub,5,12,9,,25.7,,,3.62
22-Jun,mp,alnrub,6,5,4,,5.3,,,4.21
22-Jun,mp,alnrub,7,8,5,,8,,,3.5
22-Jun,mp,alnvir,6,8,7,,6.5,,,3.41
22-Jun,mp,alnvir,7,,,513.8,6,5.2,5.1,4.56
22-Jun,mp,alnvir,8,,,285.1,1.321,,,3.19
22-Jun,mp,amealn,12,,,406.8,3.4,,,2.75
22-Jun,mp,corsto,6,,,273.6,1.77,,,3.57
22-Jun,mp,corsto,7,,,231.1,1.129,,,2.7
22-Jun,mp,corsto,8,,,111.7,1.987,,,3.12
22-Jun,mp,corsto,9,,,202.3,2.021,,,2.84
22-Jun,mp,corsto,10,,,347.8,1.574,1.605,1.762,3.24
22-Jun,mp,menfer,1,,,159.3,1.383,,,1.41
22-Jun,mp,menfer,8,,,224.8,1.73,,,1.89
22-Jun,mp,menfer,9,,,154.7,1.393,,,1.62
22-Jun,mp,menfer,10,,,182.3,1.399,,,1.34
22-Jun,mp,popbal,11,21,13,,39.4,,,3.75
22-Jun,mp,rhoalb,8,,,225.3,2.074,2.23,1.48,3.13
22-Jun,mp,rhoalb,9,,,144.1,1.339,,,3.62
22-Jun,mp,rhoalb,10,,,149.2,1.128,,,3.08
22-Jun,mp,riblac,2,,,74.5,0.563,,,3.04
22-Jun,mp,riblac,11,,,104.1,0.784,,,1.66
22-Jun,mp,rosaci,2,,,52.6,0.668,,,3.51
22-Jun,mp,rosaci,4,,,88.3,0.43,,,1.87
22-Jun,mp,rosaci,5,,,106.1,0.879,,,1.39
22-Jun,mp,rosaci,6,,,85.4,0.854,,,1.75
22-Jun,mp,rosgym,1,,,147.4,0.754,,,1.2
22-Jun,mp,rosgym,2,,,124.3,0.853,,,1.1
22-Jun,mp,rosgym,10,,,146,0.917,0.653,,3.03
22-Jun,mp,rubpar,7,,,68.9,0.572,,,2.37
22-Jun,mp,rubpar,9,,,110,0.687,,,2.8
22-Jun,mp,rubpar,10,,,97.1,0.661,,,2.46
22-Jun,mp,shecan,3,,,317,2.86,,,3.87
22-Jun,mp,shecan,4,,,109.5,0.879,0.801,1.029,3.33
22-Jun,mp,shecan,10,,,123.4,1.894,,,3.62
22-Jun,mp,spibet,8,,,60.8,0.332,,,1.21
22-Jun,mp,spibet,9,,,63.6,0.36,,,1.21
22-Jun,mp,spidou,1,,,109.4,0.788,,,3.09
22-Jun,mp,spidou,2,,,109.1,0.652,,,1.63
22-Jun,mp,spidou,3,,,119,0.682,,,2.74
22-Jun,mp,spipyr,1,,,132.1,0.735,,,1.98
22-Jun,mp,spipyr,2,,,85.2,0.511,,,1.36
22-Jun,mp,spipyr,3,,,36.5,0.774,,,2.78
22-Jun,mp,spipyr,4,,,144.6,0.938,,,1.39
22-Jun,mp,spipyr,5,,,99.7,0.616,,,1.31
22-Jun,mp,spipyr,6,,,143.8,1.134,,,2.12
22-Jun,mp,spipyr,7,,,131.2,1.091,,,1.3
22-Jun,mp,spipyr,8,,,125.4,0.848,,,2.2
22-Jun,mp,symalb,9,,,74,0.804,,,2.37
22-Jun,mp,symalb,10,,,77,0.636,,,2.41
22-Jun,mp,vacmem,11,,,86.5,0.869,,,2.61
22-Jun,mp,vibedu,7,,,217.2,1.75,,,3.79
22-Jun,mp,vibedu,9,,,133.1,0.879,,,4.34
22-Jun,mp,vibedu,10,,,260.4,1.248,,,3
23-Jun,mp,acegla,7,7,5,,4.482,7.672,7.287,3.12
23-Jun,mp,acegla,8,7,5,,3.5,,,2.39
23-Jun,mp,acegla,9,6,5,,3.3,,,2.98
23-Jun,mp,acegla,10,7,5,,4.7,3.7,,3.13
23-Jun,mp,alninc,1,4,2,,3,4,3.5,2.75
23-Jun,mp,alninc,3,6,3,,5,5.4,6.1,3.58
23-Jun,mp,alninc,6,5,4,,5.9,4.8,2.4,3.28
23-Jun,mp,alninc,7,7,5,,5.3,5.8,4,3.37
23-Jun,mp,alninc,8,6,,,7.4,5.1,3.4,3.56
23-Jun,mp,amealn,1,,,142.6,1.308,1.324,1.721,2.98
23-Jun,mp,amealn,3,,,282.6,1.917,2.21,,2.72
23-Jun,mp,amealn,4,,,192.1,1.416,1.342,0.965,2.63
23-Jun,mp,amealn,8,,,246.4,1.915,1.953,1.72,2.91
23-Jun,mp,amealn,9,,,224.8,3.767,2.676,3.091,2.61
23-Jun,mp,amealn,10,,,297.4,3.107,,,2.85
23-Jun,mp,corsto,1,,,186.4,0.833,,,2.28
23-Jun,mp,corsto,5,,,371.3,2.717,,,2.93
23-Jun,mp,loninv,3,,,147.6,1.643,,,2.53
23-Jun,mp,loninv,9,,,160,2.275,,,2.3
23-Jun,mp,loninv,10,,,111.1,0.655,,,2.01
23-Jun,mp,menfer,4,,,109.7,2.753,1.886,1.882,2.5
23-Jun,mp,menfer,10,,,196.3,1.674,,,2.92
23-Jun,mp,popbal,6,20,16,,23.7,,,3.31
23-Jun,mp,popbal,7,31,24,,28.2,27.9,28.9,3.52
23-Jun,mp,poptre,5,10,7,,15.5,,,4.05
23-Jun,mp,poptre,6,5,3,,4.7,,,3.76
23-Jun,mp,poptre,7,13,10,,10.5,,,3.59
23-Jun,mp,poptre,11,6,3,,4.6,,,3.85
23-Jun,mp,rhoalb,2,,,95.5,0.943,0.977,0.545,3.12
23-Jun,mp,rhoalb,3,,,188.6,1.487,,,2.54
23-Jun,mp,rhoalb,4,,,172,1.53,,,3.93
23-Jun,mp,rhoalb,5,,,168.6,1.204,,,2.34
23-Jun,mp,riblac,7,,,76.8,0.633,,,1.85
23-Jun,mp,riblac,10,,,93,0.76,,,3.9
23-Jun,mp,rosaci,7,,,103.2,0.868,,,2.49
23-Jun,mp,rosaci,8,,,113.1,1.228,,,3.61
23-Jun,mp,rosaci,9,,,129.4,0.915,,,4.06
23-Jun,mp,rubpar,1,,,87.4,0.544,,,2.03
23-Jun,mp,rubpar,3,,,60.7,0.474,,,2.08
23-Jun,mp,rubpar,4,,,71.2,0.638,,,1.83
